State,Total Schools ,Govt Schools,Private Schools,Total Schools 
Andaman and Nicobar Islands,417,342,73,0
Andhra Pradesh,63343,45145,15792,285
Arunachal Pradesh,3675,3061,496,51
Assam,65203,46749,6045,7426
Bihar,93459,75555,7923,9246
Chandigarh,230,121,75,27
Chhattisgarh,56494,48619,7131,314
Dadra and Nagar Haveli and Daman and Diu,479,407,63,1
Delhi,5642,2751,2641,0
Goa,1481,821,138,0
Gujarat,54444,34967,13834,3
Haryana,23764,14563,8235,949
Himachal Pradesh,18145,15391,2753,1
Jammu and Kashmir,28930,23167,5649,113
Jharkhand,45319,35888,1542,6714
Karnataka,76905,49791,19915,17
Kerala,16481,5020,3241,1029
Ladakh,1056,915,112,0
Lakshadweep,45,45,0,0
Madhya Pradesh,133271,99152,31512,1834
Maharashtra,110114,65734,19632,824
Manipur,4653,2878,1027,163
Meghalaya,14694,7795,2179,544
Mizoram,3925,2558,1050,86
Nagaland,2719,1975,743,1
Odisha,64185,50256,6393,1692
Puducherry,741,422,286,0
Punjab,28695,19330,8893,17
Rajasthan,107376,68813,36023,2540
Sikkim,1263,851,393,0
Tamil Nadu,58904,37589,12402,587
Telangana,42917,30015,12023,179
Tripura,4934,4265,360,266
Uttar Pradesh,256911,137068,96741,14977
Uttarakhand,23169,16651,5396,508
West Bengal,95153,83379,10042,1645
